year,price
2023,15.8510
2024,16.2430
2013,11.3538
2014,9.0523
2015,10.5087
2016,9.3251
2017,7.1767
2018,5.9880
2019,5.5325
2020,6.6503
2021,5.2567
2022,4.7256
2023,6.8237
2024,4.5176
2016,5.0423
2017,6.4222
2018,5.7928
2019,7.4172
2020,5.0284
2021,7.5955
2013,14.7385
2014,16.6567
2015,17.6453
2016,15.3614
2017,13.0373
2018,12.9290
2019,13.7056
2020,13.2185
2022,0.0000
2013,9.7
2014,9.43
2015,8.49
2016,7.45
2017,7.43
2018,7.2728
2019,7.3744
2020,6.7652
2021,6.9750
2022,16.2281
2023,19.8699
2024,14.3436
2013,12.2959
2014,11.2755
2015,11.2996
2016,8.0784
2017,9.5356
2018,9.9004
2019,10.1953
2020,11.0284
2021,9.8251
2022,12.6785
2023,16.0714
2024,14.7649
2013,10.71
2014,8.42
2015,7.67
2016,6.63
2017,6.0939
2018,5.9066
2019,6.2508
2020,5.3557
2021,5.6431
2022,13.1242
2023,17.0498
2024,12.4785
2013,9.8936
2014,9.4948
2015,8.6307
2016,6.0845
2017,5.7726
2018,6.8282
2019,8.2636
2020,6.1499
2021,6.5817
2022,20.6860
2023,17.8703
2024,10.7779
2013,8.9999
2014,8.4543
2015,7.9308
2016,6.9719
2017,6.2828
2018,6.7611
2019,7.7802
2020,6.6983
2021,6.6159
2022,18.5335
2023,20.9859
2024,17.3418
2013,12.16
2014,11.35
2015,9.86
2016,8.3
2017,7.69
2018,7.6924
2019,7.7126
2020,6.8036
2021,6.6048
2022,12.3483
2023,18.5622
2024,15.4307
2013,9.5948
2014,7.5697
2015,7.8222
2016,5.5683
2017,6.6056
2018,7.6181
2019,6.7460
2020,4.6664
2021,6.9471
2022,26.9947
2023,16.0181
2024,11.5632
2013,9.94
2014,9.42
2015,9.48
2016,5.98
2017,6.62
2018,7.1631
2019,7.9881
2020,6.5654
2021,7.7661
2022,27.1281
2023,22.3691
2024,13.2849
2013,13.27
2014,12.11
2015,9.93
2016,6.64
2017,6.73
2018,7.2000
2019,8.6763
2020,6.3478
2021,6.3170
2022,26.6470
2023,19.7933
2024,10.4449
2013,10.65
2014,10.23
2015,9.56
2016,7.66
2017,7.429
2018,7.9078
2019,8.0566
2020,7.4751
2021,6.1621
2022,19.0023
2023,18.0834
2024,11.7815
2013,10.6807
2014,10.0147
2015,9.1682
2016,7.6545
2017,7.1793
2018,7.3928
2019,7.8801
2020,6.9139
2021,6.6212
2022,16.3842
2023,20.6296
2024,14.7161
2013,10.6
2014,10.06
2015,8.54
2016,7.15
2017,8.21
2018,10.6206
2019,12.2540
2020,9.0647
2021,10.8100
2022,32.2100
2023,26.2522
2024,17.9292
2013,11.03
2014,10.36
2015,9.58
2016,7.92
2017,7.6892
2018,7.8003
2019,8.4896
2020,7.4488
2021,7.5368
2022,15.1082
2023,20.9629
2024,16.1326
2018,5.9300
2019,6.3814
2020,5.8773
2021,4.7814
2022,6.6255
2023,8.9229
2024,8.1678
2013,12.6945
2014,11.408
2015,10.6853
2016,8.9766
2017,6.7104
2018,6.9596
2019,8.1402
2020,7.4890
2021,7.6287
2022,15.0569
2023,17.8611
2024,14.5556
2013,10.9417
2014,10.6814
2015,9.7137
2016,8.3145
2017,6.6198
2018,6.2832
2019,7.5669
2020,6.8846
2021,5.7752
2022,15.5092
2023,28.7324
2024,16.7781
2013,10.81
2014,10.45
2015,10.08
2016,8.02
2017,8.28
2018,8.4888
2019,8.6496
2020,6.9149
2021,7.9979
2022,17.0304
2023,19.3039
2024,15.7532
2013,10.53
2014,9.58
2015,9.12
2016,8
2017,6.88
2018,7.3072
2019,8.2732
2020,7.2576
2021,6.3074
2022,19.6360
2023,24.4886
2024,14.5255
2014,12.6325
2015,14.1776
2016,12.098
2017,10.0577
2018,9.4743
2019,10.5164
2020,11.1037
2021,9.7335
2022,21.7392
2023,24.3650
2024,22.8941
2013,12.2335
2014,11.4979
2015,7.79
2016,7.45
2017,6.7
2018,7.9858
2019,7.7945
2020,5.1462
2021,7.2236
2022,28.9637
2023,21.0254
